road_name,geometry,score
용마산로28가길,"LINESTRING (14147255.01688013 4518589.896735119, 14147259.914937725 4518551.569824383)",2
용마산로28다길,"LINESTRING (14147441.05709822 4518513.902313246, 14147442.267395595 4518514.464902035, 14147450.53843376 4518518.607950803)",2
용마산로28다길,"LINESTRING (14147441.05709822 4518513.902313246, 14147417.643524231 4518503.018860572)",2
용마산로28다길,"LINESTRING (14147450.53843376 4518518.607950803, 14147442.267395595 4518514.464902035, 14147441.05709822 4518513.902313246)",2
용마산로28다길,"LINESTRING (14147477.204599788 4518531.751435244, 14147486.784059964 4518536.331791519, 14147515.549016384 4518540.671468665, 14147548.644300995 4518544.014004392, 14147569.516705522 4518552.847853953)",2
용마산로28다길,"LINESTRING (14147450.53843376 4518518.607950803, 14147468.66124686 4518527.666486879, 14147477.204599788 4518531.751435244)",2
용마산로28다길,"LINESTRING (14147477.303308096 4518509.0897395825, 14147485.60407336 4518512.3020907855, 14147489.39067604 4518514.11477202)",2
용마산로28다길,"LINESTRING (14147453.678959815 4518513.957833132, 14147461.180577079 4518502.850329995, 14147477.303308096 4518509.0897395825)",2
용마산로28다길,"LINESTRING (14147489.39067604 4518514.11477202, 14147494.376049234 4518516.501315631, 14147504.127636628 4518521.164002049, 14147517.018433662 4518521.725771637, 14147526.781153005 4518522.147098849, 14147539.382519362 4518521.9504794795, 14147568.704073237 4518531.62696558)",2
용마산로28다길,"LINESTRING (14147450.53843376 4518518.607950803, 14147453.678959815 4518513.957833132)",2
용마산로28다길,"LINESTRING (14147489.39067604 4518514.11477202, 14147485.60407336 4518512.3020907855, 14147477.303308096 4518509.0897395825)",2
용마산로28다길,"LINESTRING (14147477.303308096 4518509.0897395825, 14147461.180577079 4518502.850329995, 14147453.678959815 4518513.957833132)",2
용마산로28다길,"LINESTRING (14147568.704073237 4518531.62696558, 14147539.382519362 4518521.9504794795, 14147526.781153005 4518522.147098849, 14147517.018433662 4518521.725771637, 14147504.127636628 4518521.164002049, 14147494.376049234 4518516.501315631, 14147489.39067604 4518514.11477202)",2
