gid_500,gid_100,gid,grid_x,grid_y,geometry
15,211,다사641517,1928,3903,"POLYGON ((964100 1951700, 964100 1951800, 964200 1951800, 964200 1951700, 964100 1951700))"
15,212,다사642517,1928,3903,"POLYGON ((964200 1951700, 964200 1951800, 964300 1951800, 964300 1951700, 964200 1951700))"
15,213,다사643517,1928,3903,"POLYGON ((964300 1951700, 964300 1951800, 964400 1951800, 964400 1951700, 964300 1951700))"
15,214,다사644517,1928,3903,"POLYGON ((964400 1951700, 964400 1951800, 964500 1951800, 964500 1951700, 964400 1951700))"
15,236,다사640516,1928,3903,"POLYGON ((964000 1951600, 964000 1951700, 964100 1951700, 964100 1951600, 964000 1951600))"
15,237,다사641516,1928,3903,"POLYGON ((964100 1951600, 964100 1951700, 964200 1951700, 964200 1951600, 964100 1951600))"
15,238,다사642516,1928,3903,"POLYGON ((964200 1951600, 964200 1951700, 964300 1951700, 964300 1951600, 964200 1951600))"
15,239,다사643516,1928,3903,"POLYGON ((964300 1951600, 964300 1951700, 964400 1951700, 964400 1951600, 964300 1951600))"
15,240,다사644516,1928,3903,"POLYGON ((964400 1951600, 964400 1951700, 964500 1951700, 964500 1951600, 964400 1951600))"
15,262,다사640515,1928,3903,"POLYGON ((964000 1951500, 964000 1951600, 964100 1951600, 964100 1951500, 964000 1951500))"
15,263,다사641515,1928,3903,"POLYGON ((964100 1951500, 964100 1951600, 964200 1951600, 964200 1951500, 964100 1951500))"
15,264,다사642515,1928,3903,"POLYGON ((964200 1951500, 964200 1951600, 964300 1951600, 964300 1951500, 964200 1951500))"
15,265,다사643515,1928,3903,"POLYGON ((964300 1951500, 964300 1951600, 964400 1951600, 964400 1951500, 964300 1951500))"
15,266,다사644515,1928,3903,"POLYGON ((964400 1951500, 964400 1951600, 964500 1951600, 964500 1951500, 964400 1951500))"
16,163,다사645519,1929,3903,"POLYGON ((964500 1951900, 964500 1952000, 964600 1952000, 964600 1951900, 964500 1951900))"
16,164,다사646519,1929,3903,"POLYGON ((964600 1951900, 964600 1952000, 964700 1952000, 964700 1951900, 964600 1951900))"
16,165,다사647519,1929,3903,"POLYGON ((964700 1951900, 964700 1952000, 964800 1952000, 964800 1951900, 964700 1951900))"
16,166,다사648519,1929,3903,"POLYGON ((964800 1951900, 964800 1952000, 964900 1952000, 964900 1951900, 964800 1951900))"
16,167,다사649519,1929,3903,"POLYGON ((964900 1951900, 964900 1952000, 965000 1952000, 965000 1951900, 964900 1951900))"
16,189,다사645518,1929,3903,"POLYGON ((964500 1951800, 964500 1951900, 964600 1951900, 964600 1951800, 964500 1951800))"
16,190,다사646518,1929,3903,"POLYGON ((964600 1951800, 964600 1951900, 964700 1951900, 964700 1951800, 964600 1951800))"
16,191,다사647518,1929,3903,"POLYGON ((964700 1951800, 964700 1951900, 964800 1951900, 964800 1951800, 964700 1951800))"
16,192,다사648518,1929,3903,"POLYGON ((964800 1951800, 964800 1951900, 964900 1951900, 964900 1951800, 964800 1951800))"
16,215,다사645517,1929,3903,"POLYGON ((964500 1951700, 964500 1951800, 964600 1951800, 964600 1951700, 964500 1951700))"
16,216,다사646517,1929,3903,"POLYGON ((964600 1951700, 964600 1951800, 964700 1951800, 964700 1951700, 964600 1951700))"
16,217,다사647517,1929,3903,"POLYGON ((964700 1951700, 964700 1951800, 964800 1951800, 964800 1951700, 964700 1951700))"
16,218,다사648517,1929,3903,"POLYGON ((964800 1951700, 964800 1951800, 964900 1951800, 964900 1951700, 964800 1951700))"
16,241,다사645516,1929,3903,"POLYGON ((964500 1951600, 964500 1951700, 964600 1951700, 964600 1951600, 964500 1951600))"
16,242,다사646516,1929,3903,"POLYGON ((964600 1951600, 964600 1951700, 964700 1951700, 964700 1951600, 964600 1951600))"
16,243,다사647516,1929,3903,"POLYGON ((964700 1951600, 964700 1951700, 964800 1951700, 964800 1951600, 964700 1951600))"
16,244,다사648516,1929,3903,"POLYGON ((964800 1951600, 964800 1951700, 964900 1951700, 964900 1951600, 964800 1951600))"
16,267,다사645515,1929,3903,"POLYGON ((964500 1951500, 964500 1951600, 964600 1951600, 964600 1951500, 964500 1951500))"
16,268,다사646515,1929,3903,"POLYGON ((964600 1951500, 964600 1951600, 964700 1951600, 964700 1951500, 964600 1951500))"
16,269,다사647515,1929,3903,"POLYGON ((964700 1951500, 964700 1951600, 964800 1951600, 964800 1951500, 964700 1951500))"
16,270,다사648515,1929,3903,"POLYGON ((964800 1951500, 964800 1951600, 964900 1951600, 964900 1951500, 964800 1951500))"
18,274,다사625514,1925,3902,"POLYGON ((962500 1951400, 962500 1951500, 962600 1951500, 962600 1951400, 962500 1951400))"
18,275,다사626514,1925,3902,"POLYGON ((962600 1951400, 962600 1951500, 962700 1951500, 962700 1951400, 962600 1951400))"
18,276,다사627514,1925,3902,"POLYGON ((962700 1951400, 962700 1951500, 962800 1951500, 962800 1951400, 962700 1951400))"
18,277,다사628514,1925,3902,"POLYGON ((962800 1951400, 962800 1951500, 962900 1951500, 962900 1951400, 962800 1951400))"
18,278,다사629514,1925,3902,"POLYGON ((962900 1951400, 962900 1951500, 963000 1951500, 963000 1951400, 962900 1951400))"
18,301,다사625513,1925,3902,"POLYGON ((962500 1951300, 962500 1951400, 962600 1951400, 962600 1951300, 962500 1951300))"
18,302,다사626513,1925,3902,"POLYGON ((962600 1951300, 962600 1951400, 962700 1951400, 962700 1951300, 962600 1951300))"
18,303,다사627513,1925,3902,"POLYGON ((962700 1951300, 962700 1951400, 962800 1951400, 962800 1951300, 962700 1951300))"
18,304,다사628513,1925,3902,"POLYGON ((962800 1951300, 962800 1951400, 962900 1951400, 962900 1951300, 962800 1951300))"
18,305,다사629513,1925,3902,"POLYGON ((962900 1951300, 962900 1951400, 963000 1951400, 963000 1951300, 962900 1951300))"
18,327,다사625512,1925,3902,"POLYGON ((962500 1951200, 962500 1951300, 962600 1951300, 962600 1951200, 962500 1951200))"
18,328,다사626512,1925,3902,"POLYGON ((962600 1951200, 962600 1951300, 962700 1951300, 962700 1951200, 962600 1951200))"
